,property_class,property_class_description,owner1,address,city,state,zip_code,latitude,longitude,mail
566,,,,,,,,42.90694772,-78.82185588,
567,,,,,,,,42.90237669,-78.8174989,
568,,,,,,,,42.91307558,-78.82532209,
570,,,,,,,,42.91637031,-78.85879978,
576,,,,,,,,42.90647686,-78.83296569,
577,,,,,,,,42.90865796,-78.85557273,
581,,,,,,,,42.910748,-78.84577761,
586,,,,,,,,42.91433932,-78.86258097,
587,,,,,,,,42.905286,-78.86513404,
594,,,,,,,,42.91103613,-78.83308572,
598,,,,,,,,42.9010271,-78.85106463,
605,,,,,,,,42.89928764,-78.83677374,
614,,,,,,,,42.90390545,-78.81682965,
618,,,,,,,,42.90596012,-78.85710711,
620,,,,,,,,42.89901412,-78.85172467,
621,,,,,,,,42.90238092,-78.82829719,
622,,,,,,,,42.89931657,-78.85434641,
624,,,,,,,,42.91538808,-78.82296228,
625,,,,,,,,42.91641481,-78.81443974,
638,,,,,,,,42.9158282,-78.85981939,
641,,,,,,,,42.9146955,-78.87234066,
643,,,,,,,,42.91106638,-78.83633519,
647,,,,,,,,42.91231239,-78.82939783,
658,,,,,,,,42.9004994,-78.82570904,
660,,,,,,,,42.90597827,-78.8582569,
661,,,,,,,,42.91495476,-78.84763714,
662,,,,,,,,42.91353983,-78.84121848,
663,,,,,,,,42.90989354,-78.85176982,
669,,,,,,,,42.90262287,-78.82670986,
670,,,,,,,,42.90311863,-78.84188695,
675,,,,,,,,42.910990999999996,-78.82868247,
676,,,,,,,,42.90221034,-78.82670885,
680,,,,,,,,42.91081652,-78.85210984,
691,,,,,,,,42.89910813,-78.83630175,
693,,,,,,,,42.90602907,-78.81744704,
703,,,,,,,,42.91107003,-78.83657118,
704,,,,,,,,42.90325868,-78.82573075,
706,,,,,,,,42.90818453,-78.86076675,
710,,,,,,,,42.90472263,-78.83177140000001,
711,,,,,,,,42.90305774,-78.84291328,
722,,,,,,,,42.91259619,-78.85468909999999,
723,,,,,,,,42.90415187,-78.81739322,
727,,,,,,,,42.91772913,-78.82470539,
729,,,,,,,,42.90516817,-78.81317971,
733,,,,,,,,42.90666893,-78.82495665,
737,,,,,,,,42.90258087,-78.82770495,
749,,,,,,,,42.89939583,-78.8474416,
753,,,,,,,,42.91729876,-78.82612569,
758,,,,,,,,42.90250834,-78.83140369,
765,,,,,,,,42.90101746,-78.8600403,
770,,,,,,,,42.89918814,-78.85758142,
772,,,,,,,,42.90188651,-78.8282937,
775,,,,,,,,42.9115395,-78.84094908,
788,,,,,,,,42.90089299,-78.82979555,
789,,,,,,,,42.91358334,-78.82063615,
791,,,,,,,,,,
793,,,,,,,,42.90875466,-78.84286657,
798,,,,,,,,42.90138925,-78.82309311,
800,,,,,,,,42.91818109,-78.85641456,
808,,,,,,,,42.91095305,-78.82536703,
809,,,,,,,,42.90679677,-78.84777686,
812,,,,,,,,42.90695364,-78.83379897,
814,,,,,,,,42.90526848,-78.82859498,
815,,,,,,,,42.90123056,-78.82218346,
817,,,,,,,,42.91363231,-78.85128532,
819,,,,,,,,42.91441052,-78.81587678,
825,,,,,,,,42.90128899,-78.86097419,
826,,,,,,,,42.90652215,-78.82696679,
827,,,,,,,,42.90305174,-78.84798726,
828,,,,,,,,42.90794499,-78.83149064,
830,,,,,,,,42.90674912,-78.8353621,
831,,,,,,,,42.91332649,-78.83486445,
841,,,,,,,,42.91637839,-78.87610500000001,
847,,,,,,,,42.90050976,-78.83519372,
852,,,,,,,,42.90281054,-78.83050866,
856,,,,,,,,42.90281754,-78.85651915,
857,,,,,,,,42.89867363,-78.85242549,
859,,,,,,,,42.91147446,-78.82781525,
860,,,,,,,,42.91373997,-78.86211207,
862,,,,,,,,42.91030148,-78.84195111,
863,,,,,,,,42.91372386,-78.85254138,
864,,,,,,,,42.90307654,-78.83050664,
865,,,,,,,,42.90769034,-78.8530949,
867,,,,,,,,42.91313982,-78.82200944,
869,,,,,,,,42.91172563,-78.8127527,
871,,,,,,,,42.91157727,-78.81706969,
873,,,,,,,,42.91069484,-78.84225169,
876,,,,,,,,42.90509179,-78.81689277,
879,,,,,,,,42.89898931,-78.84546742,
882,,,,,,,,42.9065625,-78.86667809,
888,,,,,,,,42.90862692,-78.85021832,
892,,,,,,,,42.89819189,-78.84377032,
897,,,,,,,,42.89855314,-78.85360146,
903,,,,,,,,42.90617205,-78.85311536,
921,,,,,,,,42.90306887,-78.82631440000002,
922,,,,,,,,42.89879964,-78.84423238,
924,,,,,,,,42.9134909,-78.86271445,
928,,,,,,,,42.90095694,-78.84621177,
931,,,,,,,,42.90673098,-78.82774608,
935,,,,,,,,42.91106749,-78.83645428,
940,,,,,,,,42.91069153,-78.83378754,
944,,,,,,,,42.90088911,-78.84550354,
945,,,,,,,,42.90582268,-78.82248429,
948,,,,,,,,42.90164822,-78.84647064,
954,,,,,,,,42.90607583,-78.85183081,
962,,,,,,,,42.91172669,-78.81252784,
964,,,,,,,,42.90831653,-78.81972917,
965,,,,,,,,,,
967,,,,,,,,42.89971977,-78.83736707,
970,,,,,,,,42.902539000000004,-78.84120984,
972,,,,,,,,42.90706239,-78.86285977,
973,,,,,,,,,,
976,,,,,,,,42.91066309,-78.83111876,
980,,,,,,,,42.91759468,-78.81285839,
981,,,,,,,,42.91404055,-78.81542419,
982,,,,,,,,42.90150929,-78.83328874,
989,,,,,,,,42.90867509,-78.8570676,
996,,,,,,,,42.90514088,-78.86382234,
997,,,,,,,,42.90637596,-78.85905349,
1004,,,,,,,,42.91288591,-78.8496104,
1008,,,,,,,,42.91145407,-78.82593204,
1011,,,,,,,,42.91071723,-78.83663525,
1021,,,,,,,,42.91218475,-78.82062562,
1026,,,,,,,,42.90349886,-78.84771877,
1027,,,,,,,,42.91071799,-78.83674505,
1033,,,,,,,,42.89860559,-78.84991271,
1036,,,,,,,,42.91150896,-78.838223,
1038,,,,,,,,42.90426145,-78.80821593,
1039,,,,,,,,42.90047681,-78.85472686,
1043,,,,,,,,42.90687913,-78.85659929,
1045,,,,,,,,42.90857631,-78.83556391,
1047,,,,,,,,42.90059127,-78.84958972,
1051,,,,,,,,42.91820046,-78.85478147,
1053,,,,,,,,42.90954495,-78.8478643,
1055,,,,,,,,42.90059188,-78.83630925,
1059,,,,,,,,42.9065527,-78.86214126,
1064,,,,,,,,42.91181082,-78.81702017,
1071,,,,,,,,42.91585487,-78.85736522,
1073,,,,,,,,42.91410942,-78.84405132,
1079,,,,,,,,42.90680191,-78.84841157,
1084,,,,,,,,42.89859224,-78.84620592,
1087,,,,,,,,42.905851,-78.85005601,
1097,,,,,,,,42.90469592,-78.82454574,
1098,,,,,,,,42.90959726,-78.81180741,
1101,,,,,,,,42.90475712,-78.82247794,
1107,,,,,,,,42.90888825,-78.82061668,
1108,,,,,,,,42.89968794,-78.8625109,
1113,,,,,,,,42.91572284,-78.82611849,
1114,,,,,,,,42.91099629,-78.82921944,
1120,,,,,,,,42.89769028,-78.84669528,
1125,,,,,,,,42.91226777,-78.82160304,
1133,,,,,,,,42.91142611,-78.82200211,
1138,,,,,,,,42.9081387,-78.83210528,
1151,,,,,,,,42.8993849,-78.86299244,
1156,,,,,,,,42.91037822,-78.84750924,
1160,,,,,,,,42.90466615,-78.82075812,
1165,,,,,,,,42.89956779999999,-78.83057753,
1166,,,,,,,,42.91524483,-78.84981967,
1167,,,,,,,,42.89841779,-78.84269975,
1170,,,,,,,,42.90236575,-78.82346497,
1171,,,,,,,,42.90384558,-78.80977172,
1177,,,,,,,,42.90594759,-78.85559631,
1178,,,,,,,,42.92002754,-78.81189914,
1179,,,,,,,,42.90255099,-78.84746205,
1182,,,,,,,,42.90026286,-78.83631067,
1187,,,,,,,,42.91041649,-78.8514773,
1195,,,,,,,,42.90611212,-78.86284114,
1198,,,,,,,,42.91648754,-78.81602545,
1200,,,,,,,,42.898606799999996,-78.84982125,
1204,,,,,,,,42.90426095,-78.84640962,
1208,,,,,,,,42.91588013,-78.86026452,
1212,,,,,,,,42.91564229,-78.85531772,
1217,,,,,,,,42.90476951,-78.81652105,
1218,,,,,,,,42.91129027,-78.84703311,
1219,,,,,,,,42.8986033,-78.84935503,
1221,,,,,,,,42.91150672,-78.82297532,
1222,,,,,,,,42.91517537,-78.81602639,
1224,,,,,,,,42.91150746,-78.83810964,
1230,,,,,,,,42.91071374,-78.8363031,
1235,,,,,,,,42.91550199,-78.82009783,
1237,,,,,,,,42.91105301,-78.83514561,
1238,,,,,,,,42.900865100000004,-78.84673259999998,
1239,,,,,,,,42.91010747,-78.83102681,
1243,,,,,,,,42.90492489,-78.82184333,
1246,,,,,,,,42.90802704,-78.83448538,
1253,,,,,,,,42.91074473,-78.84552921,
1257,,,,,,,,42.90240699,-78.83099668,
1259,,,,,,,,42.8986804,-78.85686475,
1260,,,,,,,,42.91620291,-78.82075184,
1262,,,,,,,,42.90471485,-78.81676625,
1266,,,,,,,,42.90972398,-78.86336173,
1267,,,,,,,,42.90208337,-78.83382840000002,
1270,,,,,,,,42.90949853,-78.84057568,
1271,,,,,,,,42.9154314,-78.81501804,
1274,,,,,,,,42.90772187,-78.86286837,
1276,,,,,,,,42.90873552,-78.8608665,
1278,,,,,,,,42.89830425,-78.84156292,
1280,,,,,,,,42.9152006,-78.86384095,
1281,,,,,,,,42.90188967,-78.85669868,
1283,,,,,,,,42.89980112,-78.84036449,
1286,,,,,,,,42.91490003,-78.81733052,
1288,,,,,,,,42.91666161,-78.84070340000001,
1292,,,,,,,,42.90887889,-78.85999759999999,
1298,,,,,,,,42.91353595,-78.85268625,
1300,,,,,,,,42.90359736,-78.85295298,
1308,,,,,,,,42.92047187,-78.86240953,
1309,,,,,,,,42.90071124,-78.85539584,
1313,,,,,,,,42.90682849,-78.85236768,
1314,,,,,,,,42.90890067,-78.82458942,
1322,,,,,,,,42.91030163,-78.81146385,
1323,,,,,,,,42.90511841,-78.82696128,
1324,,,,,,,,42.91641648,-78.81542925,
1325,,,,,,,,42.90232838,-78.85634375,
1326,,,,,,,,42.91441155,-78.81611255,
1328,,,,,,,,42.91292374,-78.82102678,
1332,,,,,,,,42.91658045,-78.85916512,
1335,,,,,,,,42.91265618,-78.8403204,
1340,,,,,,,,42.91104653,-78.83434409,
1345,,,,,,,,42.91753781,-78.8543521,
1347,,,,,,,,42.91305725,-78.82200919,
1359,,,,,,,,42.90295472,-78.81573924,
1367,,,,,,,,42.8990032,-78.84423332,
1370,,,,,,,,42.91478591,-78.85515968,
1373,,,,,,,,42.90701622,-78.83795538,
1374,,,,,,,,42.89926688,-78.84497435,
1375,,,,,,,,42.90155142,-78.84987191,
1376,,,,,,,,42.90333701,-78.83200869,
1378,,,,,,,,42.90642562,-78.82760039,
1381,,,,,,,,42.8982321,-78.82069894,
1382,,,,,,,,42.91145262,-78.82582146,
1393,,,,,,,,42.90885727,-78.81508891,
1396,,,,,,,,42.91307883,-78.85740545,
1399,,,,,,,,42.89930527,-78.86302039,
1402,,,,,,,,42.91211602,-78.83807731,
1403,,,,,,,,42.90273781,-78.83631098,
1404,,,,,,,,42.91170454,-78.8627906,
1405,,,,,,,,42.91020825,-78.82159235,
1408,,,,,,,,42.91097646,-78.82739604,
1412,,,,,,,,42.91191081,-78.82258739,
1414,,,,,,,,42.90291367,-78.83382795,
1416,,,,,,,,42.9055408,-78.8335385,
1419,,,,,,,,42.90146724,-78.8578566,
1420,,,,,,,,42.911752299999996,-78.86006973,
1425,,,,,,,,42.91040613,-78.84998672,
1429,,,,,,,,42.91202025,-78.82101926,
1437,,,,,,,,42.89831177,-78.83837767,
1441,,,,,,,,42.90329451,-78.82830467,
1442,,,,,,,,42.91042218,-78.86176369,
1451,,,,,,,,42.91824804,-78.8535717,
1454,,,,,,,,42.905248799999995,-78.81651445,
1459,,,,,,,,42.90625792,-78.82858789,
1461,,,,,,,,42.91367757,-78.81601858,
1462,,,,,,,,42.91256538,-78.84979266,
1463,,,,,,,,42.90360148,-78.85324626,
1464,,,,,,,,42.91267671,-78.82102540000001,
1465,,,,,,,,42.90256204,-78.83019819,
1466,,,,,,,,42.90199005,-78.82401309,
1467,,,,,,,,42.90870682,-78.82445042,
1469,,,,,,,,42.91255465,-78.83667231,
1480,,,,,,,,42.91207026,-78.84979189,
1481,,,,,,,,42.91284667,-78.83464816,
1482,,,,,,,,42.91086951,-78.84400219,
1485,,,,,,,,42.90410348,-78.81343539,
1492,,,,,,,,42.91037354,-78.82061946,
1494,,,,,,,,42.89824419,-78.82354581,
1495,,,,,,,,42.91033770000001,-78.85707376,
1496,,,,,,,,42.90910072,-78.84161647,
1498,,,,,,,,42.90877443,-78.81551366,
1513,,,,,,,,42.91664297,-78.8569839,
1519,,,,,,,,42.90979419,-78.84207906,
1520,,,,,,,,42.91208392,-78.86067149,
1521,,,,,,,,42.90146201,-78.82630481,
1523,,,,,,,,42.90083765,-78.83479249,
1534,,,,,,,,42.90652209,-78.82655654,
1537,,,,,,,,42.90317589,-78.82249581,
1541,,,,,,,,42.90483738,-78.82289018,
1544,,,,,,,,42.91041072,-78.85054554,
1546,,,,,,,,42.909118,-78.84930152,
1547,,,,,,,,42.91014799,-78.83526388,
1548,,,,,,,,42.90641493,-78.81744834,
1552,,,,,,,,42.91168394,-78.80644808,
1560,,,,,,,,42.90383375,-78.83171118,
1563,,,,,,,,42.90896117,-78.81715495,
1568,,,,,,,,42.90154445,-78.85681155,
1574,,,,,,,,42.90277953,-78.81686163,
1583,,,,,,,,42.898759000000005,-78.85615147,
1585,,,,,,,,42.91316428,-78.81601983,
1590,,,,,,,,42.90189109,-78.82163891,
1597,,,,,,,,42.90480269,-78.81606557,
1600,,,,,,,,42.91410838,-78.85064547,
1601,,,,,,,,42.91034054,-78.85718345,
1603,,,,,,,,42.89998509,-78.85442652,
1605,,,,,,,,42.91369644,-78.87182904,
1612,,,,,,,,42.91147082,-78.82758469,
1618,,,,,,,,42.90913738,-78.81120252,
1622,,,,,,,,42.90660952,-78.82391445,
1625,,,,,,,,42.91726369,-78.81117778,
1627,,,,,,,,42.89885106,-78.84639546,
1630,,,,,,,,42.90420211,-78.82454259,
1631,,,,,,,,42.90157371,-78.83051492,
1632,,,,,,,,42.91333047,-78.85794725,
1633,,,,,,,,42.91349633,-78.85794491,
1635,,,,,,,,42.90909706,-78.84138135,
1636,,,,,,,,42.90106878,-78.84913259,
1638,,,,,,,,42.9114505,-78.85730961,
1643,,,,,,,,42.91016127,-78.8325579,
1648,,,,,,,,42.91566929,-78.81701971,
1650,,,,,,,,42.91405198,-78.85621983,
1651,,,,,,,,42.91316798,-78.85794992,
1655,,,,,,,,42.89834911,-78.83815548,
1660,,,,,,,,42.90300859,-78.83139992,
1669,,,,,,,,42.89924158,-78.85794712,
1671,,,,,,,,42.91197079,-78.83208797,
1675,,,,,,,,42.91070793,-78.83574315,
1680,,,,,,,,42.91468069,-78.85463976,
1681,,,,,,,,42.91231447,-78.82951174,
1686,,,,,,,,42.91158203,-78.84703361,
1687,,,,,,,,42.90690729,-78.86002315,
1689,,,,,,,,42.913162,-78.85556765,
1690,,,,,,,,42.90305412,-78.82128981,
1692,,,,,,,,42.90979958,-78.84253254,
1694,,,,,,,,42.91266803,-78.84144055,
1698,,,,,,,,42.90312123,-78.82683247,
1703,,,,,,,,42.89950866,-78.84744138,
1704,,,,,,,,42.90200478,-78.8332864,
1706,,,,,,,,42.90600998,-78.86091023,
1713,,,,,,,,42.90602991,-78.82696312,
1715,,,,,,,,42.91346464,-78.82298849,
1726,,,,,,,,42.89870301,-78.84546694,
1727,,,,,,,,42.91786351,-78.82819917,
1734,,,,,,,,42.90169109,-78.84601135,
1735,,,,,,,,42.9155035,-78.81742076,
1749,,,,,,,,42.90355735,-78.85652209999999,
1754,,,,,,,,42.91001261,-78.81068365,
1756,,,,,,,,42.90500386,-78.8601287,
1758,,,,,,,,42.90976443,-78.839893,
1759,,,,,,,,42.91533681,-78.81966367,
1762,,,,,,,,42.91095779,-78.81445456,
1765,,,,,,,,42.91254564,-78.81702055,
1766,,,,,,,,42.91696279,-78.80430258,
1770,,,,,,,,42.91262136,-78.85690926,
1772,,,,,,,,42.91610578,-78.8602769,
1778,,,,,,,,42.90002032,-78.82629009,
1779,,,,,,,,42.91180304,-78.83208958,
1783,,,,,,,,42.91099804,-78.82933364,
1786,,,,,,,,42.91622807,-78.87617261,
1795,,,,,,,,42.906079299999995,-78.83294221,
1796,,,,,,,,42.90219247,-78.84807954,
1798,,,,,,,,42.89901218,-78.82307212,
1804,,,,,,,,42.91098342,-78.82792771,
1805,,,,,,,,42.90656363,-78.86588922,
1806,,,,,,,,42.90699766,-78.83612207,
1811,,,,,,,,42.91014172,-78.83466688,
1812,,,,,,,,42.90254953,-78.8216443,
1818,,,,,,,,42.903743799999994,-78.82793663,
1820,,,,,,,,42.89889742,-78.83859781,
1821,,,,,,,,42.90952887,-78.84279001,
1823,,,,,,,,42.91523395,-78.84170689,
1824,,,,,,,,42.905087200000004,-78.82184382,
1831,,,,,,,,42.89860929,-78.84546613,
1840,,,,,,,,42.90536451,-78.82696293,
1841,,,,,,,,42.90585977,-78.85088481,
1844,,,,,,,,42.90969036,-78.83431401,
1845,,,,,,,,42.90287516,-78.82829983,
1846,,,,,,,,42.89933879,-78.8565022,
1847,,,,,,,,42.91203029,-78.84197091,
1849,,,,,,,,42.91150952,-78.80580418,
1852,,,,,,,,42.90537449,-78.83480494,
1856,,,,,,,,42.913764,-78.8160204,
